fish_id,sex,mid-eye-fork-length,n_eggs,egg_mass_g,avg_egg_mass_g,total_egg_mass_g,est_pre_hardened_egg_mass_g,est_fecund_n,nmolT_g,deficient_conc,nmolT_egg,deficient_totalT,mate1,mate2,mate_group,whatman_card_number,card_position,comments
f01,f,721,8,2.0869999999999997,0.26087499999999997,510,392.7,1969,5.905172069210357,FALSE,1.5404418910130273,FALSE,m2,m3,m2+m3,15773,1,
f02,f,774,8,1.8631,0.2328875,730,562.1,2819,3.403864768690247,TRUE,0.7915035767801124,TRUE,m2,m3,m2+m3,15773,2,
f03,f,708,8,1.9421,0.2427625,1315,1012.5500000000001,5077,5.774545485997361,FALSE,1.3989620894151495,FALSE,m4,m5,m4+m5,15773,3,
f04,f,744,8,2.401,0.300125,490,377.3,1892,8.177797128114124,FALSE,2.4543146054507012,FALSE,m4,m5,m4+m5,15773,4,
f05,f,651,8,2.0617,0.2577125,235,180.95000000000002,907,4.67577111008388,TRUE,1.2050165771050414,FALSE,m6,m7,m6+m7,15773,5,
f06,f,682,8,1.8375,0.2296875,1205,927.85,4653,6.17833250029879,FALSE,1.4194720462403037,FALSE,m6,m7,m6+m7,15773,6,
f07,f,695,7,1.9776000000000002,0.2825142857142858,450,346.5,1737,6.416846536202338,FALSE,1.8143655823588483,FALSE,m8,m9,m8+m9,15773,7,
f08,f,747,6,1.5306000000000002,0.25510000000000005,1110,854.7,4286,6.184965464567146,FALSE,1.577804173730102,FALSE,m8,m9,m8+m9,15773,8,
f09,f,606,8,1.7186,0.214825,795,612.15,3069,6.858527858435728,FALSE,1.473175830247911,FALSE,m10,m11,m10+m11,15773,9,
f10,f,695,7,1.6905999999999999,0.2415142857142857,1060,816.2,4093,4.242864499293767,TRUE,1.018057019123637,FALSE,m10,m11,m10+m11,15773,10,
f11,f,693,8,1.5514999999999999,0.19393749999999998,1110,854.7,4286,6.994911320565761,FALSE,1.3568022564029563,FALSE,m12,m13,m12+m13,15773,11,
f12,f,701,8,1.9906,0.248825,1220,939.4,4710,5.33192135883539,FALSE,1.3267532566100209,FALSE,m12,m13,m12+m13,15773,12,
f13,f,668,8,1.6267999999999998,0.20334999999999998,1165,897.0500000000001,4498,5.257541947523316,FALSE,1.0700540015455156,FALSE,m14,m15,m14+m15,15773,13,
f14,f,686,6,1.7200000000000002,0.2866666666666667,1145,881.65,4421,4.478318322186715,TRUE,1.2839228081898912,FALSE,m14,m15,m14+m15,15773,14,
f15,f,621,8,2.0998,0.262475,980,754.6,3784,5.764190870539872,FALSE,1.5126499238450988,FALSE,m16,m17,m16+m17,15773,15,
f16,f,705,7,1.9518,0.2788285714285714,870,669.9,3359,5.398305927435368,FALSE,1.503966460820875,FALSE,m16,m17,m16+m17,15773,16,
f17,f,683,8,2.0688,0.2586,1050,808.5,4054,4.05686231086904,TRUE,1.0491518276294416,FALSE,m18,m19,m18+m19,15773,17,
f18,f,690,9,2.0469999999999997,0.22744444444444442,1180,908.6,4556,6.277711843234969,FALSE,1.4237721109118593,FALSE,m18,m19,m18+m19,15773,18,
f19,f,658,8,1.6674,0.208425,1135,873.95,4382,6.725755449782081,FALSE,1.4020519870101338,FALSE,m20,m21,m20+m21,15773,19,
