id,year,stock,location,egg_nmol_thia_g,egg_nmol_thia_egg,year_stock,year_location
357124,2015,NA,LPW,4.4,NA,NA,2015_LPW
357121,2015,NA,LPW,8.75,NA,NA,2015_LPW
357126,2015,NA,LPW,5.94,NA,NA,2015_LPW
357120,2015,NA,LPW,8.71,NA,NA,2015_LPW
357122,2015,NA,LPW,17.77,NA,NA,2015_LPW
357125,2015,NA,LPW,8.08,NA,NA,2015_LPW
357123,2015,NA,LPW,11.46,NA,NA,2015_LPW
369200,2016,NA,LPW,6.73,NA,NA,2016_LPW
369204,2016,NA,LPW,5.08,NA,NA,2016_LPW
369205,2016,NA,LPW,10.16,NA,NA,2016_LPW
369203,2016,NA,LPW,9.87,NA,NA,2016_LPW
369202,2016,NA,LPW,4.88,NA,NA,2016_LPW
369201,2016,NA,LPW,9.53,NA,NA,2016_LPW
404845,2018,Keta River,LPW,7.8,NA,2018_Keta River,2018_LPW
404846,2018,Keta River,LPW,3.3,NA,2018_Keta River,2018_LPW
404847,2018,Keta River,LPW,3.9,NA,2018_Keta River,2018_LPW
404848,2018,Keta River,LPW,7.8,NA,2018_Keta River,2018_LPW
404849,2018,Keta River,LPW,7.2,NA,2018_Keta River,2018_LPW
404850,2018,Keta River,LPW,4.3,NA,2018_Keta River,2018_LPW
404851,2018,Keta River,LPW,4.6,NA,2018_Keta River,2018_LPW
404852,2018,Keta River,LPW,3.2,NA,2018_Keta River,2018_LPW
404853,2018,Keta River,LPW,5.3,NA,2018_Keta River,2018_LPW
404855,2018,Keta River,LPW,5.3,NA,2018_Keta River,2018_LPW
404857,2018,Keta River,LPW,2.7,NA,2018_Keta River,2018_LPW
404859,2018,Keta River,LPW,2.9,NA,2018_Keta River,2018_LPW
A1,2018,Andrew Creek,Macauly,7.4,NA,2018_Andrew Creek,2018_Macauly
A2,2018,Andrew Creek,Macauly,8.4,NA,2018_Andrew Creek,2018_Macauly
A3,2018,Andrew Creek,Macauly,7.9,NA,2018_Andrew Creek,2018_Macauly
A4,2018,Andrew Creek,Macauly,10.6,NA,2018_Andrew Creek,2018_Macauly
A5,2018,Andrew Creek,Macauly,9.6,NA,2018_Andrew Creek,2018_Macauly
A6,2018,Andrew Creek,Macauly,6.4,NA,2018_Andrew Creek,2018_Macauly
A7,2018,Andrew Creek,Macauly,5.4,NA,2018_Andrew Creek,2018_Macauly
A8,2018,Andrew Creek,Macauly,9.4,NA,2018_Andrew Creek,2018_Macauly
A9,2018,Andrew Creek,Macauly,8.1,NA,2018_Andrew Creek,2018_Macauly
A10,2018,Andrew Creek,Macauly,7.5,NA,2018_Andrew Creek,2018_Macauly
